SPA,Service Code,Charge,Stop Date,New Charge
815520000250,DF004,12.00,013120,12.50
815520000260,DF004,12.00,013120,12.50
815520000270,DF004,12.00,013120,12.50
815520000280,DF004,12.00,013120,12.50
815520000300,DF004,12.00,013120,12.50
815520000310,DF004,12.00,013120,12.50
815520000330,DF004,12.00,013120,12.50
815520000350,DF004,12.00,013120,12.50
815520000360,DF004,12.00,013120,12.50
815520000370,DF004,12.00,013120,12.50
815520000380,DF004,12.00,013120,12.50
815520000400,DF004,12.00,013120,12.50
815520000410,DF004,12.00,013120,12.50
815520000430,DF004,12.00,013120,12.50
815520000440,DF004,12.00,013120,12.50
815520000450,DF004,12.00,013120,12.50
815520000460,DF004,12.00,013120,12.50
815520000470,DF004,12.00,013120,12.50
815520000480,DF004,12.00,013120,12.50
815520000490,DF004,12.00,013120,12.50
815520000500,DF004,12.00,013120,12.50
815520000510,DF004,12.00,013120,12.50
815520000520,DF004,12.00,013120,12.50
815530000010,DF004,12.00,013120,12.50
815530000020,DF004,12.00,013120,12.50
815530000030,DF004,12.00,013120,12.50
815530000040,DF004,12.00,013120,12.50
815530000050,DF004,12.00,013120,12.50
815530000060,DF004,12.00,013120,12.50
815530000070,DF004,12.00,013120,12.50
815530000080,DF004,12.00,013120,12.50
815530000090,DF004,12.00,013120,12.50
815530000100,DF004,12.00,013120,12.50
815530000110,DF004,12.00,013120,12.50
815530000120,DF004,12.00,013120,12.50
815530000130,DF004,12.00,013120,12.50
815530000140,DF004,12.00,013120,12.50
815530000150,DF004,12.00,013120,12.50
815530000160,DF004,12.00,013120,12.50
815530000170,DF004,12.00,013120,12.50
815530000180,DF004,12.00,013120,12.50
815530000190,DF004,12.00,013120,12.50
815530000200,DF004,12.00,013120,12.50
815530000210,DF004,12.00,013120,12.50
815530000220,DF004,12.00,013120,12.50
815530000230,DF004,12.00,013120,12.50
815530000240,DF004,12.00,013120,12.50
815530000250,DF004,12.00,013120,12.50
815530000260,DF004,12.00,013120,12.50
815530000270,DF004,12.00,013120,12.50
815530000280,DF004,12.00,013120,12.50
815530000290,DF004,12.00,013120,12.50
815530000300,DF004,12.00,013120,12.50
815530000310,DF004,12.00,013120,12.50
815530000320,DF004,12.00,013120,12.50
815530000330,DF004,12.00,013120,12.50
815530000340,DF004,12.00,013120,12.50
815530000350,DF004,12.00,013120,12.50
815530000360,DF004,12.00,013120,12.50
815530000370,DF004,12.00,013120,12.50
815530000380,DF004,12.00,013120,12.50
815530000390,DF004,12.00,013120,12.50
815530000400,DF004,12.00,013120,12.50
815530000410,DF004,12.00,013120,12.50
815530000420,DF004,12.00,013120,12.50
815530000430,DF004,12.00,013120,12.50
815530000440,DF004,12.00,013120,12.50
815530000450,DF004,12.00,013120,12.50
815530000460,DF004,12.00,013120,12.50
815530000470,DF004,12.00,013120,12.50
815530000480,DF004,12.00,013120,12.50
815530000490,DF004,12.00,013120,12.50
815530000520,DF004,12.00,013120,12.50
815530000530,DF004,12.00,013120,12.50
815530000540,DF004,12.00,013120,12.50
815530000550,DF004,12.00,013120,12.50
815530000560,DF004,12.00,013120,12.50
815530000570,DF004,12.00,013120,12.50
815540000010,DF004,12.00,013120,12.50
815540000020,DF004,12.00,013120,12.50
815540000030,DF004,12.00,013120,12.50
815540000040,DF004,12.00,013120,12.50
815540000050,DF004,12.00,013120,12.50
815540000060,DF004,12.00,013120,12.50
815540000070,DF004,12.00,013120,12.50
815540000080,DF004,12.00,013120,12.50
815540000090,DF004,12.00,013120,12.50
815540000100,DF004,12.00,013120,12.50
815540000110,DF004,12.00,013120,12.50
815540000120,DF004,12.00,013120,12.50
815540000130,DF004,12.00,013120,12.50
815540000140,DF004,12.00,013120,12.50
815540000160,DF004,12.00,013120,12.50
815540000170,DF004,12.00,013120,12.50
815540000180,DF004,12.00,013120,12.50
815540000190,DF004,12.00,013120,12.50
815540000200,DF004,12.00,013120,12.50
815540000210,DF004,12.00,013120,12.50
815540000230,DF004,12.00,013120,12.50
815540000270,DF004,12.00,013120,12.50
815540000280,DF004,12.00,013120,12.50
815540000290,DF004,12.00,013120,12.50
815540000300,DF004,12.00,013120,12.50
815540000310,DF004,12.00,013120,12.50
815540000320,DF004,12.00,013120,12.50
815540000330,DF004,12.00,013120,12.50
815540000340,DF004,12.00,013120,12.50
815540000350,DF004,12.00,013120,12.50
815540000360,DF004,12.00,013120,12.50
815540000370,DF004,12.00,013120,12.50
815540000380,DF004,12.00,013120,12.50
815540000390,DF004,12.00,013120,12.50
815540000400,DF004,12.00,013120,12.50
815540000410,DF004,12.00,013120,12.50
815540000420,DF004,12.00,013120,12.50
815540000430,DF004,12.00,013120,12.50
815540000440,DF004,12.00,013120,12.50
815540000450,DF004,12.00,013120,12.50
815540000460,DF004,12.00,013120,12.50
815540000470,DF004,12.00,013120,12.50
815540000480,DF004,12.00,013120,12.50
815540000490,DF004,12.00,013120,12.50
815540000500,DF004,12.00,013120,12.50
815540000510,DF004,12.00,013120,12.50
815540000520,DF004,12.00,013120,12.50
815540000530,DF004,12.00,013120,12.50
815540000540,DF004,12.00,013120,12.50
815540000550,DF004,12.00,013120,12.50
815540000560,DF004,12.00,013120,12.50
815540000570,DF004,12.00,013120,12.50
815540000580,DF004,12.00,013120,12.50
815540000590,DF004,12.00,013120,12.50
815540000600,DF004,12.00,013120,12.50
815540000630,DF004,12.00,013120,12.50
815540000640,DF004,12.00,013120,12.50
815550000010,DF004,12.00,013120,12.50
815550000020,DF004,12.00,013120,12.50
815550000040,DF004,12.00,013120,12.50
815550000050,DF004,12.00,013120,12.50
815550000060,DF004,12.00,013120,12.50
815550000070,DF004,12.00,013120,12.50
815550000080,DF004,12.00,013120,12.50
815550000090,DF004,12.00,013120,12.50
815550000100,DF004,12.00,013120,12.50
815550000110,DF004,12.00,013120,12.50
815550000140,DF004,12.00,013120,12.50
815550000150,DF004,12.00,013120,12.50
815550000160,DF004,12.00,013120,12.50
815550000170,DF004,12.00,013120,12.50
815550000180,DF004,12.00,013120,12.50
815550000190,DF004,12.00,013120,12.50
815550000200,DF004,12.00,013120,12.50
815550000210,DF004,12.00,013120,12.50
815550000220,DF004,12.00,013120,12.50
815550000230,DF004,12.00,013120,12.50
815550000240,DF004,12.00,013120,12.50
815550000250,DF004,12.00,013120,12.50
815550000260,DF004,12.00,013120,12.50
815550000270,DF004,12.00,013120,12.50
815550000280,DF004,12.00,013120,12.50
815550000290,DF004,12.00,013120,12.50
815550000300,DF004,12.00,013120,12.50
815550000310,DF004,12.00,013120,12.50
815550000320,DF004,12.00,013120,12.50
815550000330,DF004,12.00,013120,12.50
815550000340,DF004,12.00,013120,12.50
815550000350,DF004,12.00,013120,12.50
815550000360,DF004,12.00,013120,12.50
815550000370,DF004,12.00,013120,12.50
815550000380,DF004,12.00,013120,12.50
815550000390,DF004,12.00,013120,12.50
815550000400,DF004,12.00,013120,12.50
815550000410,DF004,12.00,013120,12.50
815550000420,DF004,12.00,013120,12.50
815550000430,DF004,12.00,013120,12.50
815560000010,DF004,12.00,013120,12.50
815560000020,DF004,12.00,013120,12.50
815560000030,DF004,12.00,013120,12.50
815560000040,DF004,12.00,013120,12.50
815560000050,DF004,12.00,013120,12.50
815560000060,DF004,12.00,013120,12.50
815560000070,DF004,12.00,013120,12.50
815560000080,DF004,12.00,013120,12.50
815560000090,DF004,12.00,013120,12.50
815560000100,DF004,12.00,013120,12.50
815560000110,DF004,12.00,013120,12.50
815560000120,DF004,12.00,013120,12.50
815560000130,DF004,12.00,013120,12.50
815560000140,DF004,12.00,013120,12.50
815560000150,DF004,12.00,013120,12.50
815560000190,DF004,12.00,013120,12.50
815560000200,DF004,12.00,013120,12.50
815560000210,DF004,12.00,013120,12.50
815560000220,DF004,12.00,013120,12.50
815560000230,DF004,12.00,013120,12.50
815560000240,DF004,12.00,013120,12.50
815560000250,DF004,12.00,013120,12.50
815560000260,DF004,12.00,013120,12.50
815560000270,DF004,12.00,013120,12.50
815560000280,DF004,12.00,013120,12.50
815560000290,DF004,12.00,013120,12.50
815560000300,DF004,12.00,013120,12.50
815560000310,DF004,12.00,013120,12.50
815560000320,DF004,12.00,013120,12.50
815560000330,DF004,12.00,013120,12.50
815560000340,DF004,12.00,013120,12.50
815560000350,DF004,12.00,013120,12.50
815560000360,DF004,12.00,013120,12.50
815560000370,DF004,12.00,013120,12.50
815560000380,DF004,12.00,013120,12.50
815560000390,DF004,12.00,013120,12.50
815560000400,DF004,12.00,013120,12.50
815560000410,DF004,12.00,013120,12.50
815560000420,DF004,12.00,013120,12.50
815560000430,DF004,12.00,013120,12.50
815560000440,DF004,12.00,013120,12.50
815560000450,DF004,12.00,013120,12.50
815560000460,DF004,12.00,013120,12.50
815560000470,DF004,12.00,013120,12.50
815560000480,DF004,12.00,013120,12.50
815560000490,DF004,12.00,013120,12.50
815560000500,DF004,12.00,013120,12.50
815560000510,DF004,12.00,013120,12.50
815560000520,DF004,12.00,013120,12.50
815560000530,DF004,12.00,013120,12.50
815560000540,DF004,12.00,013120,12.50
815560000550,DF004,12.00,013120,12.50
815560000560,DF004,12.00,013120,12.50
815560000570,DF004,12.00,013120,12.50
815560000580,DF004,12.00,013120,12.50
815560000590,DF004,12.00,013120,12.50
815560000600,DF004,12.00,013120,12.50
815560000610,DF004,12.00,013120,12.50
815560000620,DF004,12.00,013120,12.50
815560000630,DF004,12.00,013120,12.50
815560000640,DF004,12.00,013120,12.50
815560000650,DF004,12.00,013120,12.50
815560000660,DF004,12.00,013120,12.50
815560000670,DF004,12.00,013120,12.50
815560000680,DF004,12.00,013120,12.50
815560000690,DF004,12.00,013120,12.50
815560000700,DF004,12.00,013120,12.50
815560000710,DF004,12.00,013120,12.50
815560000720,DF004,12.00,013120,12.50
815560000730,DF004,12.00,013120,12.50
815560000740,DF004,12.00,013120,12.50
815560000750,DF004,12.00,013120,12.50
815560000760,DF004,12.00,013120,12.50
815560000770,DF004,12.00,013120,12.50
815560000780,DF004,12.00,013120,12.50
815570000010,DF004,12.00,013120,12.50
815570000020,DF004,12.00,013120,12.50
815570000030,DF004,12.00,013120,12.50
815570000040,DF004,12.00,013120,12.50
815570000050,DF004,12.00,013120,12.50
815570000060,DF004,12.00,013120,12.50
815570000070,DF004,12.00,013120,12.50
81551000TOT ,DF004,12.00,013120,12.50
81552000TOT ,DF004,12.00,013120,12.50
81553000TOT ,DF004,12.00,013120,12.50
81554000TOT ,DF004,12.00,013120,12.50
81555000TOT ,DF004,12.00,013120,12.50
81556000TOT ,DF004,12.00,013120,12.50
81557000TOT ,DF004,12.00,013120,12.50
8155SYS TOT ,DF004,12.00,013120,12.50
815510000020,DF006,12.00,013120,12.50
815510000030,DF006,12.00,013120,12.50
815510000040,DF006,12.00,013120,12.50
815510000050,DF006,12.00,013120,12.50
815510000060,DF006,12.00,013120,12.50
815510000070,DF006,12.00,013120,12.50
815510000090,DF006,12.00,013120,12.50
815510000100,DF006,12.00,013120,12.50
815510000110,DF006,12.00,013120,12.50
815510000120,DF006,12.00,013120,12.50
815510000130,DF006,12.00,013120,12.50
815510000140,DF006,12.00,013120,12.50
815510000150,DF006,12.00,013120,12.50
815510000170,DF006,12.00,013120,12.50
815510000180,DF006,12.00,013120,12.50
815510000190,DF006,12.00,013120,12.50
815510000200,DF006,12.00,013120,12.50
815510000210,DF006,12.00,013120,12.50
815510000230,DF006,12.00,013120,12.50
815510000240,DF006,12.00,013120,12.50
815510000250,DF006,12.00,013120,12.50
815510000260,DF006,12.00,013120,12.50
815510000270,DF006,12.00,013120,12.50
815510000280,DF006,12.00,013120,12.50
815510000290,DF006,12.00,013120,12.50
815510000300,DF006,12.00,013120,12.50
815510000310,DF006,12.00,013120,12.50
815510000320,DF006,12.00,013120,12.50
815510000330,DF006,12.00,013120,12.50
815510000340,DF006,12.00,013120,12.50
815510000350,DF006,12.00,013120,12.50
815510000360,DF006,12.00,013120,12.50
815510000370,DF006,12.00,013120,12.50
815510000510,DF006,12.00,013120,12.50
815510000520,DF006,12.00,013120,12.50
815510000980,DF006,12.00,013120,12.50
815510000990,DF006,12.00,013120,12.50
815520000020,DF006,12.00,013120,12.50
815520000050,DF006,12.00,013120,12.50
815520000060,DF006,12.00,013120,12.50
815520000070,DF006,12.00,013120,12.50
815520000080,DF006,12.00,013120,12.50
815520000090,DF006,12.00,013120,12.50
815520000110,DF006,12.00,013120,12.50
815520000120,DF006,12.00,013120,12.50
815520000130,DF006,12.00,013120,12.50
815520000140,DF006,12.00,013120,12.50
815520000150,DF006,12.00,013120,12.50
815520000160,DF006,12.00,013120,12.50
815520000170,DF006,12.00,013120,12.50
815520000180,DF006,12.00,013120,12.50
815520000190,DF006,12.00,013120,12.50
815520000210,DF006,12.00,013120,12.50
815520000220,DF006,12.00,013120,12.50
815520000230,DF006,12.00,013120,12.50
815520000240,DF006,12.00,013120,12.50
815520000250,DF006,12.00,013120,12.50
815520000260,DF006,12.00,013120,12.50
815520000270,DF006,12.00,013120,12.50
815520000280,DF006,12.00,013120,12.50
815520000300,DF006,12.00,013120,12.50
815520000310,DF006,12.00,013120,12.50
815520000330,DF006,12.00,013120,12.50
815520000350,DF006,12.00,013120,12.50
815520000360,DF006,12.00,013120,12.50
815520000370,DF006,12.00,013120,12.50
815520000380,DF006,12.00,013120,12.50
815520000400,DF006,12.00,013120,12.50
815520000410,DF006,12.00,013120,12.50
815520000430,DF006,12.00,013120,12.50
815520000440,DF006,12.00,013120,12.50
815520000450,DF006,12.00,013120,12.50
815520000460,DF006,12.00,013120,12.50
815520000470,DF006,12.00,013120,12.50
815520000480,DF006,12.00,013120,12.50
815520000490,DF006,12.00,013120,12.50
815520000500,DF006,12.00,013120,12.50
815520000510,DF006,12.00,013120,12.50
815520000520,DF006,12.00,013120,12.50
815530000010,DF006,12.00,013120,12.50
815530000020,DF006,12.00,013120,12.50
815530000030,DF006,12.00,013120,12.50
815530000040,DF006,12.00,013120,12.50
815530000050,DF006,12.00,013120,12.50
815530000060,DF006,12.00,013120,12.50
815530000070,DF006,12.00,013120,12.50
815530000080,DF006,12.00,013120,12.50
815530000090,DF006,12.00,013120,12.50
815530000100,DF006,12.00,013120,12.50
815530000110,DF006,12.00,013120,12.50
815530000120,DF006,12.00,013120,12.50
815530000130,DF006,12.00,013120,12.50
815530000140,DF006,12.00,013120,12.50
815530000150,DF006,12.00,013120,12.50
815530000160,DF006,12.00,013120,12.50
815530000170,DF006,12.00,013120,12.50
815530000180,DF006,12.00,013120,12.50
815530000190,DF006,12.00,013120,12.50
815530000200,DF006,12.00,013120,12.50
815530000210,DF006,12.00,013120,12.50
815530000220,DF006,12.00,013120,12.50
815530000230,DF006,12.00,013120,12.50
815530000240,DF006,12.00,013120,12.50
815530000250,DF006,12.00,013120,12.50
815530000260,DF006,12.00,013120,12.50
815530000270,DF006,12.00,013120,12.50
815530000280,DF006,12.00,013120,12.50
815530000290,DF006,12.00,013120,12.50
815530000300,DF006,12.00,013120,12.50
815530000310,DF006,12.00,013120,12.50
815530000320,DF006,12.00,013120,12.50
815530000330,DF006,12.00,013120,12.50
815530000340,DF006,12.00,013120,12.50
815530000350,DF006,12.00,013120,12.50
815530000360,DF006,12.00,013120,12.50
815530000370,DF006,12.00,013120,12.50
815530000380,DF006,12.00,013120,12.50
815530000390,DF006,12.00,013120,12.50
815530000400,DF006,12.00,013120,12.50
815530000410,DF006,12.00,013120,12.50
815530000420,DF006,12.00,013120,12.50
815530000430,DF006,12.00,013120,12.50
815530000440,DF006,12.00,013120,12.50
815530000450,DF006,12.00,013120,12.50
815530000460,DF006,12.00,013120,12.50
815530000470,DF006,12.00,013120,12.50
815530000480,DF006,12.00,013120,12.50
815530000490,DF006,12.00,013120,12.50
815540000010,DF006,12.00,013120,12.50
815540000020,DF006,12.00,013120,12.50
815540000030,DF006,12.00,013120,12.50
815540000040,DF006,12.00,013120,12.50
815540000050,DF006,12.00,013120,12.50
815540000060,DF006,12.00,013120,12.50
815540000070,DF006,12.00,013120,12.50
815540000080,DF006,12.00,013120,12.50
815540000090,DF006,12.00,013120,12.50
815540000100,DF006,12.00,013120,12.50
815540000110,DF006,12.00,013120,12.50
815540000120,DF006,12.00,013120,12.50
815540000130,DF006,12.00,013120,12.50
815540000140,DF006,12.00,013120,12.50
815540000160,DF006,12.00,013120,12.50
815540000170,DF006,12.00,013120,12.50
815540000180,DF006,12.00,013120,12.50
815540000190,DF006,12.00,013120,12.50
815540000200,DF006,12.00,013120,12.50
815540000210,DF006,12.00,013120,12.50
815540000230,DF006,12.00,013120,12.50
815540000270,DF006,12.00,013120,12.50
815540000280,DF006,12.00,013120,12.50
815540000290,DF006,12.00,013120,12.50
815540000300,DF006,12.00,013120,12.50
815540000310,DF006,12.00,013120,12.50
815540000320,DF006,12.00,013120,12.50
815540000330,DF006,12.00,013120,12.50
815540000340,DF006,12.00,013120,12.50
815540000350,DF006,12.00,013120,12.50
815540000360,DF006,12.00,013120,12.50
815540000370,DF006,12.00,013120,12.50
815540000380,DF006,12.00,013120,12.50
815540000390,DF006,12.00,013120,12.50
815540000400,DF006,12.00,013120,12.50
815540000410,DF006,12.00,013120,12.50
815540000420,DF006,12.00,013120,12.50
815540000430,DF006,12.00,013120,12.50
815540000440,DF006,12.00,013120,12.50
815540000450,DF006,12.00,013120,12.50
815540000460,DF006,12.00,013120,12.50
815540000470,DF006,12.00,013120,12.50
815540000480,DF006,12.00,013120,12.50
815540000490,DF006,12.00,013120,12.50
815540000500,DF006,12.00,013120,12.50
815540000510,DF006,12.00,013120,12.50
815540000520,DF006,12.00,013120,12.50
815540000530,DF006,12.00,013120,12.50
815540000540,DF006,12.00,013120,12.50
815540000550,DF006,12.00,013120,12.50
815540000560,DF006,12.00,013120,12.50
815540000570,DF006,12.00,013120,12.50
815540000580,DF006,12.00,013120,12.50
815540000590,DF006,12.00,013120,12.50
815540000600,DF006,12.00,013120,12.50
815540000630,DF006,12.00,013120,12.50
815540000640,DF006,12.00,013120,12.50
815550000010,DF006,12.00,013120,12.50
815550000020,DF006,12.00,013120,12.50
815550000040,DF006,12.00,013120,12.50
815550000050,DF006,12.00,013120,12.50
815550000060,DF006,12.00,013120,12.50
815550000070,DF006,12.00,013120,12.50
815550000080,DF006,12.00,013120,12.50
815550000090,DF006,12.00,013120,12.50
815550000100,DF006,12.00,013120,12.50
815550000110,DF006,12.00,013120,12.50
815550000140,DF006,12.00,013120,12.50
